iso_639_1,name
en,English
fr,Français
es,Español
de,Deutsch
ru,Pусский
la,Latin
nl,Nederlands
cn,广州话 / 廣州話
zh,普通话
hu,Magyar
sq,shqip
it,Italiano
ko,한국어/조선말
fa,فارسی
da,Dansk
gd,
ja,日本語
ar,العربية
hr,Hrvatski
bs,Bosanski
mn,
ro,Română
id,Bahasa indonesia
ms,Bahasa melayu
mk,
sv,svenska
he,עִבְרִית
kw,
cs,Český
nv,
mi,
tl,
pl,Polski
ga,Gaeilge
no,Norsk
sk,Slovenčina
vi,Tiếng Việt
yi,
pt,Português
hi,हिन्दी
ca,Català
is,Íslenska
af,Afrikaans
sr,Srpski
bn,বাংলা
wo,Wolof
cy,Cymraeg
th,ภาษาไทย
lv,Latviešu
sw,Kiswahili
bg,български език
el,ελληνικά
ne,
tr,Türkçe
km,
fi,suomi
eo,Esperanto
uk,Український
iu,
ka,ქართული
sh,
bo,
nb,Bokmål
ty,
xx,No Language
si,
as,
gn,
eu,euskera
az,Azərbaycan
mt,Malti
ur,اردو
zu,isiZulu
lo,
xh,
bm,Bamanankan
cr,
ps,پښتو
so,Somali
ku,
hy,
oc,
pa,ਪੰਜਾਬੀ
to,
ce,
qu,
be,беларуская мова
am,
tg,
tt,
se,
ml,
ta,தமிழ்
co,
gl,Galego
dz,
rw,Kinyarwanda
ht,
kk,қазақ
ln,
my,
et,Eesti
sa,
lt,Lietuvikai
fy,
tk,
sl,Slovenščina
te,తెలుగు
ny,
st,
sc,
gu,
ff,Fulfulde
mr,
ug,
ay,
ky,??????
jv,
br,
sg,
lb,
ab,
kn,?????
uz,ozbek
sm,
ki,
tn,
fo,
sn,
bi,
ha,Hausa
ig,
mh,
